V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
-0.406705357,-0.80811759,1.166326354,-2.096660064,-0.432963932,-0.450998786,0.23034642,-0.102149128,-0.648973543,0.319296927,0.961885887,0.101982511,0.446106015,-0.77414017,-1.193784776,1.424411111,-0.46976529,-0.760957739,-0.187531121,0.542629534,0.412207245,1.140903115,0.087362449,0.0360385,0.191967401,-0.211564782,0.006342452,-0.2067939,129
0.05276626,0.925708821,-0.330454924,-0.610967941,0.943459234,-0.619212934,0.846965342,0.032637432,-0.309452035,-0.662572901,1.11981718,0.604181052,-0.123292367,-0.805306205,-0.944403617,0.49051161,0.164962816,0.242590081,0.011513466,0.044245753,-0.275671206,-0.703713911,0.116341263,0.659519345,-0.465805334,0.086656729,0.215655653,0.076730771,5.99
1.925877005,0.414386341,-0.7354047,3.804063893,0.530141838,0.425981444,0.014676428,0.055600655,-0.540862418,1.385603101,-1.687988635,-0.522308108,-0.728652215,0.103958125,-1.359271047,0.482094414,-0.484075576,-0.459929272,-1.351143014,-0.329504188,0.058309217,0.296043828,0.118971803,0.579992999,0.132809813,0.076560668,-0.032101573,-0.047295026,3.75
-4.595617042,5.08369023,-7.581014617,7.546032795,-6.949164564,-1.72918493,-8.19019172,2.71466961,-7.083169331,-11.14127769,7.381859374,-14.4686551,0.299659909,-13.60221147,0.5161127,-13.56327296,-23.81563583,-9.170557219,3.66952344,1.682160306,2.248971226,0.566843572,0.033744053,0.591783408,0.334228765,0.386801106,2.163897767,0.983103834,340.11
-0.967767137,2.098018632,-5.222929466,6.514573243,-4.187674068,2.11417835,0.948701404,-2.448426895,-3.203666083,-3.074034313,1.051486303,-3.474862967,0.5733713,-5.254253463,-0.326388327,-1.848598114,-2.421535619,-0.833344853,0.952141057,1.14720392,-0.843268389,0.796738518,1.314312347,-0.352886653,-1.77070558,0.098133359,0.956768781,0.162777346,925.31
-14.17916511,7.421369962,-21.40583574,11.92751187,-7.974280687,-2.202710277,-15.47161228,-0.35659491,-6.380124898,-13.34827765,10.18758732,-14.56397976,0.593759358,-14.49159835,-0.281392504,-8.264128844,-12.43980497,-4.837079026,0.753149848,1.002764342,-2.366836062,1.130955198,0.991153238,-1.033132107,-0.327179345,0.634692904,2.171904945,-1.395287684,1
-2.869794946,1.335666962,-1.009530198,1.693884729,-0.741479895,-0.796772696,-2.614241877,1.066636468,-1.135496522,-3.943336821,2.572830216,-2.2886635,0.562084178,-5.33871421,-1.853251891,-2.619233054,-5.231425127,-1.234853737,0.397308037,0.01155721,0.528421373,0.228027081,-0.749297963,-0.067178963,0.215792485,-0.453651012,0.349191043,0.198862268,16.48
0.983522137,-0.339707853,-0.24704464,0.155207524,-0.278954374,-0.872976182,0.467424842,-0.209440842,-0.034679377,-0.210972176,-0.068389306,-0.062770663,-0.745966216,0.682179035,1.138720815,-0.209774329,0.156485708,-1.324732449,-0.122261065,0.140271392,-0.274998255,-1.16578355,0.059911356,0.095261736,0.056380011,0.720599866,-0.123665741,0.020237336,153.38
-28.52426759,15.87692299,-29.46873209,6.447591402,-20.78600004,-4.865613418,-19.50108408,18.74887195,-3.642989819,-7.939642419,4.184673689,-5.835075215,1.215959645,-5.330143782,-0.118631138,-5.367775276,-11.43175691,-4.696924444,0.692688412,1.706889062,1.805769784,-2.119376168,-1.317449622,0.16984563,2.051687335,-0.210502,1.301733965,0.380246181,99.99
-0.927943675,-1.051268664,1.990746871,-2.483562353,-1.241427524,-0.163889933,-0.207476023,0.126084144,-2.472886333,0.715640885,0.571643947,-0.972768383,-0.091354596,-0.335869899,-0.340058032,0.342107032,-0.189058597,1.137825641,-0.548777496,0.069000332,0.121277397,0.266620842,0.053328154,-0.055563995,0.422321244,-0.186694818,-0.000979816,0.068875344,158
1.177823792,2.487103395,-5.330608161,5.324546835,1.150243258,-1.281842535,-1.1719942,0.413778202,-2.659840154,-2.971695236,3.619597407,-4.478044065,-2.034184486,-7.772197355,-1.201492749,-0.509866916,-1.304369794,0.495999535,-1.359843893,0.156057239,0.262325117,-0.431790203,-0.092088065,0.145215898,0.45778841,0.167739067,0.451242541,0.26842121,4.87
1.985094789,0.280304881,-1.581953186,1.375230854,0.820672775,-0.364444193,0.414677814,-0.272299928,1.179495485,0.039568504,1.715907004,-1.413366042,1.523388568,2.110683975,-1.93677475,-0.561379846,0.32795294,0.111080824,-0.13864496,-0.277417799,-0.046643636,0.262414572,0.028359987,0.654029329,0.425086718,-0.582748461,-0.049968342,-0.06972985,15
-0.264868684,3.386139969,-3.45499699,4.367629058,3.336060428,-2.053918423,0.256890458,-2.957235441,-2.855797234,-2.808455543,1.847503511,-2.414822338,-2.573224542,-6.59912613,0.123470383,2.572371808,6.609365809,2.5306698,-3.602657251,0.482513022,-1.394503794,-0.166029307,-1.452081183,-0.251814671,1.243460543,0.452786777,0.132218076,0.424599466,1
2.064847972,0.231879259,-2.636501583,0.712429422,0.891672743,-1.392365051,0.678837232,-0.529998756,1.88815542,-0.845376386,-0.415252981,-3.439472905,-0.071856528,1.137431626,-0.593621903,-0.247528202,1.422193061,0.664757636,0.03070356,-0.27571732,-0.124342488,-0.024241331,-0.18784234,-0.811395882,0.561928684,-0.064754342,-0.083533449,-0.056942335,45
1.036638558,0.40722728,0.757706165,3.161821447,-0.568122226,0.202180695,-0.689804056,0.411379939,0.336769232,-0.283731284,0.903117453,-0.158825775,-1.930709019,-2.376653641,-1.810172485,0.935791272,1.591506148,1.259470714,-0.666806394,-0.219461074,-0.050107622,0.123760576,-0.132567902,0.350230554,0.507701401,0.189620905,0.061015666,0.06314128,0.76
-1.201397783,4.864535181,-8.328823316,7.652399362,-0.167445106,-2.76769465,-3.176420951,1.62327868,-4.367227625,-5.533443029,4.106404559,-6.331824796,0.671784815,-12.15658658,1.020251785,-2.110863433,-1.558544528,0.195991826,0.502453451,0.59702555,0.532320016,-0.556913022,0.1924444,-0.698588444,0.025002716,0.514967603,0.378105296,-0.053132794,0.77
0.083494268,1.022775618,-0.324524146,-0.64161777,0.985879906,-0.476141965,0.918463636,0.01569866,-0.417291426,-0.696405802,1.277941266,0.97550182,0.54729414,-0.936875417,-0.972472055,0.404325333,0.178461199,0.07234164,-0.062152431,0.067747158,-0.266974385,-0.623111772,0.104089278,0.618621317,-0.459131951,0.090042507,0.225093642,0.076434212,6.45
-2.375592951,-0.315540612,0.809145831,-0.820069471,2.309560741,-0.969996526,1.061848987,-0.734020903,0.698624038,0.189415237,0.725302261,0.056149435,-0.374382805,-2.077329107,-1.455206642,0.232410264,-0.129189938,0.547653027,-0.062720243,-0.130973008,-0.356739534,0.171898652,-0.685543143,-0.498327968,1.074060842,0.607683725,-0.589952614,-0.050724028,13.6
-5.685013418,5.77651621,-7.064976729,5.902715452,-4.715563831,-1.755633324,-6.958679143,3.877795187,-5.541528828,-7.502112191,3.676703187,-7.642983067,1.689865123,-8.299659531,0.646996365,-6.79279506,-12.07593206,-4.882179643,2.626624525,0.299488632,1.128641074,-0.962959729,-0.110045084,-0.177733241,-0.089175416,-0.049446723,0.303444582,0.219380439,111.7
-0.345850209,1.153673099,1.298989233,0.060388573,0.056002176,-0.969428002,0.751053362,-0.097918393,-0.459156043,-0.526491085,-0.140213438,0.140743293,0.532898112,-0.511474407,0.848486479,0.363514381,-0.015247167,-0.188530731,-0.094864831,0.14696106,-0.257175632,-0.655335987,-0.012605589,0.345246704,-0.145402458,0.070365261,0.247300726,0.099406696,6.28
1.209541091,-0.146659869,0.910057772,1.160853635,-0.691383722,0.241875347,-0.66214035,0.214868039,1.141084655,-0.163477519,-1.755231442,-0.467610452,-1.087582965,-0.157267211,0.377938991,0.381296689,-0.47974264,0.365772783,0.112490266,-0.187360794,-0.131593504,-0.230714449,-0.093776123,-0.491990198,0.483333926,-0.352467519,0.06306344,0.027098142,9.99
-4.598269301,-4.244892969,0.760431962,1.469886152,2.663359332,-0.70185105,-2.349801138,0.913946765,-0.208946757,0.104218343,-0.265992449,0.440515618,0.583738098,0.193369884,0.219828582,2.264912975,-1.499742703,0.802510412,-1.533582993,-0.28429757,0.349836202,0.434400463,-1.45770016,-1.126396684,-1.258562318,0.776333992,0.654759678,-1.029190065,119.06
1.903847292,-0.517710205,-1.173837203,0.118956497,-0.173876604,-0.471529341,-0.061894386,-0.061070321,0.948395758,-0.054720928,0.395402317,0.835113152,-0.77716723,0.422663717,-0.834843635,-0.242326376,-0.373800512,-0.051432231,0.681683399,-0.155768796,-0.103302153,-0.222434258,0.127473045,-0.396028637,-0.108958452,-0.086531542,-0.040420904,-0.061446434,61.37
0.910565252,-0.411420671,1.281198267,2.690292115,-0.513360205,1.854137077,-0.958687802,0.65140107,0.616125975,0.44537263,-0.443926683,0.430969017,-0.953058919,-0.550555158,-1.983957406,0.21239188,-0.160613761,0.17497291,-0.308402578,-0.077828075,0.08828256,0.448403069,-0.27044877,-0.780276085,0.529133701,0.284736731,0.054414158,0.020340436,79.78
2.372984084,-1.186438892,-1.900131617,-1.729334678,-0.298147997,-0.401828897,-0.631486386,-0.379507815,-1.633808375,1.594658691,-1.460146715,-0.4532513,1.76915033,-0.523106766,-0.497058057,-0.910440883,0.361205443,0.02056486,-0.00385291,-0.308510575,0.16750927,1.107469101,-0.155072837,0.119314439,0.515315038,0.299840804,-0.014296405,-0.066055854,24.45
